interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;300.00;1140.00;18.75;loop1_1;5.04;95;96;8.62;18.91
0.00;300.00;1116.00;18.18;loop1_2;5.05;93;93;8.63;18.74
0.00;300.00;1140.00;19.11;loop1_3;5.04;95;95;8.39;19.24
0.00;300.00;312.00;22.21;loop2_1;5.08;26;26;1.99;22.89
0.00;300.00;468.00;19.71;loop2_2;5.05;39;39;3.33;20.17
0.00;300.00;912.00;21.91;loop2_3;5.03;76;76;5.83;22.84
0.00;300.00;1224.00;25.09;loop2_4;5.04;102;102;6.83;26.21
0.00;300.00;312.00;20.71;loop3_1;5.08;26;26;2.12;20.93
0.00;300.00;720.00;26.42;loop4_1;5.04;60;60;3.81;26.77
0.00;300.00;1068.00;27.19;loop4_2;5.05;89;90;5.57;27.42
0.00;300.00;1440.00;29.42;loop4_3;5.04;120;120;6.84;29.53
0.00;300.00;432.00;28.53;loop5_1;5.06;36;36;2.13;28.72
0.00;300.00;696.00;26.32;loop5_2;5.04;58;59;3.72;26.61
0.00;300.00;1080.00;26.13;loop5_3;5.05;90;90;5.80;27.52
0.00;300.00;1440.00;29.49;loop5_4;5.04;120;120;6.83;29.61
0.00;300.00;444.00;21.18;loop6_1;5.06;37;37;2.94;21.43
0.00;300.00;312.00;29.10;loop7_1;5.00;26;26;1.49;29.47
0.00;300.00;96.00;31.91;loop7_2;5.26;8;8;0.44;31.99
0.00;300.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
0.00;300.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
0.00;300.00;996.00;27.35;loop8_2;5.03;83;83;5.08;27.63
0.00;300.00;1104.00;28.60;loop8_3;5.07;92;92;5.44;28.79
0.00;300.00;1344.00;31.19;loop8_4;5.04;112;112;6.03;31.32
300.00;600.00;1164.00;18.50;loop1_1;5.04;97;98;8.85;18.66
300.00;600.00;1140.00;18.37;loop1_2;5.09;95;98;8.92;18.56
300.00;600.00;1248.00;17.60;loop1_3;5.02;104;104;9.90;18.99
300.00;600.00;96.00;20.43;loop2_1;5.00;8;8;0.65;20.87
300.00;600.00;744.00;21.08;loop2_2;5.10;62;62;5.01;21.77
300.00;600.00;1128.00;23.81;loop2_3;5.04;94;94;6.64;24.51
