conflict_begin;conflict_ego;conflict_end;conflict_foe;minTTC_position;minTTC_time;minTTC_type;minTTC_value;maxDRAC_position;maxDRAC_time;maxDRAC_type;maxDRAC_value
85.00;1_1.29;113.00;1_2.18;1180.40,1040.56;87.00;2;3.00;;;;
85.00;1_1.29;113.00;1_2.18;;;;;1185.12,1034.37;85.00;2;3.61
85.00;1_2.18;113.00;1_1.29;1180.40,1040.56;87.00;3;3.00;;;;
85.00;1_2.18;113.00;1_1.29;;;;;1185.12,1034.37;85.00;3;3.61
144.00;1_2.34;173.00;1_1.88;1180.06,1041.01;146.00;3;3.20;;;;
144.00;1_2.34;173.00;1_1.88;;;;;1183.13,1036.98;145.00;3;3.42
144.00;1_1.88;173.00;1_2.34;1180.06,1041.01;146.00;2;3.20;;;;
144.00;1_1.88;173.00;1_2.34;;;;;1183.13,1036.98;145.00;2;3.42
185.00;1_2.47;210.00;1_1.131;1178.09,1033.04;186.00;3;3.04;;;;
185.00;1_2.47;210.00;1_1.131;;;;;1179.98,1030.55;185.00;3;4.42
186.00;1_2.47;210.00;1_1.137;1178.09,1033.04;186.00;3;3.77;;;;
186.00;1_2.47;210.00;1_1.137;;;;;1178.09,1033.04;186.00;3;3.46
185.00;1_1.131;210.00;1_2.47;1178.09,1033.04;186.00;2;3.04;;;;
185.00;1_1.131;210.00;1_2.47;;;;;1179.98,1030.55;185.00;2;4.42
184.00;1_2.37;212.00;1_1.127;1178.44,1037.86;186.00;3;2.84;;;;
184.00;1_2.37;212.00;1_1.127;;;;;1182.63,1032.36;184.00;3;4.33
184.00;1_1.127;212.00;1_2.37;1178.44,1037.86;186.00;2;2.84;;;;
184.00;1_1.127;212.00;1_2.37;;;;;1182.63,1032.36;184.00;2;4.33
186.00;1_1.137;210.00;1_2.47;1178.09,1033.04;186.00;2;3.77;;;;
186.00;1_1.137;210.00;1_2.47;;;;;1178.09,1033.04;186.00;2;3.46
202.00;1_2.48;223.00;1_1.146;1179.34,1036.68;203.00;3;3.19;;;;
202.00;1_2.48;223.00;1_1.146;;;;;1182.09,1033.07;202.00;3;3.95
204.00;1_2.52;228.00;1_1.152;1179.83,1030.74;204.00;3;3.11;;;;
204.00;1_2.52;228.00;1_1.152;;;;;1179.83,1030.74;204.00;3;4.15
202.00;1_1.146;223.00;1_2.48;1179.34,1036.68;203.00;2;3.19;;;;
202.00;1_1.146;223.00;1_2.48;;;;;1182.09,1033.07;202.00;2;3.95
204.00;1_1.152;228.00;1_2.52;1179.83,1030.74;204.00;2;3.11;;;;
204.00;1_1.152;228.00;1_2.52;;;;;1179.83,1030.74;204.00;2;4.15
218.00;1_2.41;247.00;1_1.164;1179.46,1041.79;221.00;3;2.81;;;;
218.00;1_2.41;247.00;1_1.164;;;;;1184.74,1034.87;219.00;3;3.38
218.00;1_1.164;247.00;1_2.41;1179.46,1041.79;221.00;2;2.81;;;;
218.00;1_1.164;247.00;1_2.41;;;;;1184.74,1034.87;219.00;2;3.38
232.00;1_1.183;256.00;1_2.49;1182.76,1037.47;232.00;2;3.42;;;;
232.00;1_1.183;256.00;1_2.49;;;;;1182.76,1037.47;232.00;2;3.65
232.00;1_2.49;256.00;1_1.183;1182.76,1037.47;232.00;3;3.42;;;;
232.00;1_2.49;256.00;1_1.183;;;;;1182.76,1037.47;232.00;3;3.65
242.00;1_2.54;268.00;1_1.190;1182.34,1032.73;242.00;3;3.32;;;;
242.00;1_2.54;268.00;1_1.190;;;;;1182.34,1032.73;242.00;3;4.22
242.00;1_1.190;268.00;1_2.54;1182.34,1032.73;242.00;2;3.32;;;;
242.00;1_1.190;268.00;1_2.54;;;;;1182.34,1032.73;242.00;2;4.22
256.00;1_2.66;280.00;1_1.206;1176.52,1035.10;257.00;3;3.63;;;;
256.00;1_2.66;280.00;1_1.206;;;;;1179.35,1031.38;256.00;3;3.50
256.00;1_1.206;280.00;1_2.66;1176.52,1035.10;257.00;2;3.63;;;;
256.00;1_1.206;280.00;1_2.66;;;;;1179.35,1031.38;256.00;2;3.50
283.00;1_2.68;308.00;1_1.222;1179.08,1042.30;285.00;3;3.11;;;;
283.00;1_2.68;308.00;1_1.222;;;;;1182.19,1038.21;284.00;3;3.35
283.00;1_1.231;310.00;1_2.62;1180.45,1035.22;284.00;2;3.11;;;;
283.00;1_1.231;310.00;1_2.62;;;;;1182.45,1032.60;283.00;2;4.29
283.00;1_2.62;310.00;1_1.231;1180.45,1035.22;284.00;3;3.11;;;;
283.00;1_2.62;310.00;1_1.231;;;;;1182.45,1032.60;283.00;3;4.29
283.00;1_1.222;308.00;1_2.68;1179.08,1042.30;285.00;2;3.11;;;;
283.00;1_1.222;308.00;1_2.68;;;;;1182.19,1038.21;284.00;2;3.35
334.00;2_2.0;360.00;1_1.273;1183.07,1037.05;336.00;3;2.72;;;;
334.00;2_2.0;360.00;1_1.273;;;;;1185.07,1034.43;335.00;3;4.20
334.00;1_1.273;360.00;2_2.0;1183.07,1037.05;336.00;2;2.72;;;;
334.00;1_1.273;360.00;2_2.0;;;;;1185.07,1034.43;335.00;2;4.20
366.00;2_2.8;386.00;1_1.313;1183.19,1036.90;367.00;3;3.24;;;;
366.00;2_2.8;386.00;1_1.313;;;;;1183.19,1036.90;367.00;3;3.44
365.00;2_2.1;391.00;1_1.305;1180.33,1035.37;366.00;3;3.07;;;;
365.00;2_2.1;391.00;1_1.305;;;;;1182.54,1032.48;365.00;3;3.68
365.00;1_1.305;391.00;2_2.1;1180.33,1035.37;366.00;2;3.07;;;;
365.00;1_1.305;391.00;2_2.1;;;;;1182.54,1032.48;365.00;2;3.68
366.00;1_1.313;386.00;2_2.8;1183.19,1036.90;367.00;2;3.24;;;;
366.00;1_1.313;386.00;2_2.8;;;;;1183.19,1036.90;367.00;2;3.44
415.00;2_2.16;441.00;2_1.30;1180.67,1034.94;416.00;3;3.03;;;;
415.00;2_2.16;441.00;2_1.30;;;;;1180.67,1034.94;416.00;3;3.73
415.00;2_1.30;441.00;2_2.16;1180.67,1034.94;416.00;2;3.03;;;;
415.00;2_1.30;441.00;2_2.16;;;;;1180.67,1034.94;416.00;2;3.73
430.00;2_2.15;453.00;2_1.49;1177.46,1033.86;430.00;3;3.52;;;;
430.00;2_2.15;453.00;2_1.49;;;;;1177.46,1033.86;430.00;3;3.52
430.00;2_1.49;453.00;2_2.15;1177.46,1033.86;430.00;2;3.52;;;;
430.00;2_1.49;453.00;2_2.15;;;;;1177.46,1033.86;430.00;2;3.52
450.00;2_2.18;476.00;2_1.65;1181.48,1039.14;451.00;3;3.29;;;;
450.00;2_2.18;476.00;2_1.65;;;;;1184.47,1035.22;450.00;3;3.69
450.00;2_1.65;476.00;2_2.18;1181.48,1039.14;451.00;2;3.29;;;;
450.00;2_1.65;476.00;2_2.18;;;;;1184.47,1035.22;450.00;2;3.69
459.00;2_2.22;489.00;2_1.62;1183.26,1036.80;461.00;3;2.59;;;;
459.00;2_2.22;489.00;2_1.62;;;;;1185.16,1034.32;460.00;3;4.19
459.00;2_1.62;489.00;2_2.22;1183.26,1036.80;461.00;2;2.59;;;;
459.00;2_1.62;489.00;2_2.22;;;;;1185.16,1034.32;460.00;2;4.19
485.00;2_2.28;510.00;2_1.106;1181.58,1039.01;486.00;3;3.58;;;;
485.00;2_2.28;510.00;2_1.106;;;;;1184.50,1035.18;485.00;3;3.42
485.00;2_1.106;510.00;2_2.28;1181.58,1039.01;486.00;2;3.58;;;;
485.00;2_1.106;510.00;2_2.28;;;;;1184.50,1035.18;485.00;2;3.42
518.00;2_2.33;544.00;2_1.134;1180.38,1035.31;519.00;3;3.05;;;;
518.00;2_2.33;544.00;2_1.134;;;;;1180.38,1035.31;519.00;3;3.60
518.00;2_1.134;544.00;2_2.33;1180.38,1035.31;519.00;2;3.05;;;;
