interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;206605160;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;206605161;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;206605176;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;206605178;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;206605179;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;206605180;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;405040578;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;405040582;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;778959588;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;L23_L2;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;L2_L1;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;L3_L23;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;L4_L3;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;L4_LS4;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;L5_L4;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;L6_L5;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;LS3_L3;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;0;LS4_LS41s;0;0;0;0.00
1800.00;2100.00;MEAN_TRAVEL_TIME;0;299;0;R1_R2;164;164;300;14126.84
1800.00;2100.00;MEAN_TRAVEL_TIME;0;0;300;R2_R3;1;1;300;729.67
